"","SCC","Short.Name"
"1","10100101","Ext Comb /Electric Gen /Anthracite Coal /Pulverized Coal"
"2","10100102","Ext Comb /Electric Gen /Anthracite Coal /Traveling Grate (Overfeed) Stoker"
"3","10100201","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Wet Bottom"
"4","10100202","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom"
"5","10100203","Ext Comb /Electric Gen /Bituminous Coal /Cyclone Furnace"
"6","10100204","Ext Comb /Electric Gen /Bituminous Coal /Spreader Stoker"
"7","10100205","Ext Comb /Electric Gen /Bituminous Coal /Traveling Grate (Overfeed) Stoker"
"8","10100211","Ext Comb /Electric Gen /Bituminous Coal /Wet Bottom (Tangential)"
"9","10100212","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom (Tangential)"
"10","10100215","Ext Comb /Electric Gen /Bituminous Coal /Cell Burner"
"11","10100217","Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed"
"12","10100218","Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed"
"13","10100221","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Wet Bottom"
"14","10100222","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom"
"15","10100223","Ext Comb /Electric Gen /Subbituminous Coal /Cyclone Furnace"
"16","10100224","Ext Comb /Electric Gen /Subbituminous Coal /Spreader Stoker"
"17","10100225","Ext Comb /Electric Gen /Subbituminous Coal /Traveling Grate (Overfeed) Stoker"
"18","10100226","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential"
"19","10100235","Ext Comb /Electric Gen /Subbituminous Coal /Cell Burner"
"20","10100237","Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed"
"21","10100238","Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion - Circulating Bed"
"22","10100300","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Wet Bottom"
"23","10100301","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Wall Fired"
"24","10100302","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired"
"25","10101901","Ext Comb /Electric Gen /Coal-based Synfuel /All"
"26","10102001","Ext Comb /Electric Gen /Waste Coal /All"
"27","10102018","Ext Comb /Electric Gen /Waste Coal /Circulating Fluidized Bed"
"28","10200101","Ext Comb /Industrial /Anthracite Coal /Pulverized Coal"
"29","10200104","Ext Comb /Industrial /Anthracite Coal /Traveling Grate (Overfeed) Stoker"
"30","10200107","Ext Comb /Industrial /Anthracite Coal /Hand-fired"
"31","10200117","Ext Comb /Industrial /Anthracite Coal /Fluidized Bed Boiler Burning Anthracite-Culm Fuel"
"32","10200201","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Wet Bottom"
"33","10200202","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Dry Bottom"
"34","10200203","Ext Comb /Industrial /Bitum/Subbit Coal /Cyclone Furnace"
"35","10200204","Ext Comb /Industrial /Bitum/Subbit Coal /Spreader Stoker"
"36","10200205","Ext Comb /Industrial /Bitum/Subbit Coal /Overfeed Stoker"
"37","10200206","Ext Comb /Industrial /Bitum/Subbit Coal /Underfeed Stoker"
"38","10200210","Ext Comb /Industrial /Bitum/Subbit Coal /Overfeed Stoker **"
"39","10200212","Ext Comb /Industrial /Bitum/Subbit Coal /Pulverized Coal: Dry Bottom (Tangential)"
"40","10200213","Ext Comb /Industrial /Bitum/Subbit Coal /Wet Slurry"
"41","10200217","Ext Comb /Industrial /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed"
"42","10200218","Ext Comb /Industrial /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed"
"43","10200219","Ext Comb /Industrial /Bituminous Coal /Cogeneration"
"44","10200221","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Wet Bottom"
"45","10200222","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Dry Bottom"
"46","10200223","Ext Comb /Industrial /Subbituminous Coal /Cyclone Furnace"
"47","10200224","Ext Comb /Industrial /Subbituminous Coal /Spreader Stoker"
"48","10200225","Ext Comb /Industrial /Subbituminous Coal /Traveling Grate (Overfeed) Stoker"
"49","10200226","Ext Comb /Industrial /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential"
"50","10200229","Ext Comb /Industrial /Subbituminous Coal /Cogeneration"
"51","10200300","Ext Comb /Industrial /Lignite /Pulverized Coal: Wet Bottom"
"52","10200301","Ext Comb /Industrial /Lignite /Pulverized Coal: Dry Bottom, Wall Fired"
"53","10200302","Ext Comb /Industrial /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired"
"54","10300101","Ext Comb /Comm-Inst /Anthracite Coal /Pulverized Coal"
"55","10300102","Ext Comb /Comm-Inst /Anthracite Coal /Traveling Grate (Overfeed) Stoker"
"56","10300103","Ext Comb /Comm-Inst /Anthracite Coal /Hand-fired"
"57","10300203","Ext Comb /Comm-Inst /Bituminous Coal /Cyclone Furnace"
"58","10300205","Ext Comb /Comm-Inst /Bituminous Coal /Pulverized Coal: Wet Bottom"
"59","10300206","Ext Comb /Comm-Inst /Bituminous Coal /Pulverized Coal: Dry Bottom"
"60","10300207","Ext Comb /Comm-Inst /Bituminous Coal /Overfeed Stoker"
"61","10300208","Ext Comb /Comm-Inst /Bituminous Coal /Underfeed Stoker"
"62","10300209","Ext Comb /Comm-Inst /Bituminous Coal /Spreader Stoker"
"63","10300211","Ext Comb /Comm-Inst /Bitum/Subbit Coal /Overfeed Stoker **"
"64","10300214","Ext Comb /Comm-Inst /Bituminous Coal /Hand-fired"
"65","10300216","Ext Comb /Comm-Inst /Bituminous Coal /Pulverized Coal: Dry Bottom (Tangential)"
"66","10300217","Ext Comb /Comm-Inst /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed"
"67","10300218","Ext Comb /Comm-Inst /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed"
"68","10300221","Ext Comb /Comm-Inst /Subbituminous Coal /Pulverized Coal: Wet Bottom"
"69","10300222","Ext Comb /Comm-Inst /Subbituminous Coal /Pulverized Coal: Dry Bottom"
"70","10300223","Ext Comb /Comm-Inst /Subbituminous Coal /Cyclone Furnace"
"71","10300224","Ext Comb /Comm-Inst /Subbituminous Coal /Spreader Stoker"
"72","10300225","Ext Comb /Comm-Inst /Subbituminous Coal /Traveling Grate (Overfeed) Stoker"
"73","10300226","Ext Comb /Comm-Inst /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential"
"74","10300300","Ext Comb /Comm-Inst /Lignite /Pulverized Coal: Wet Bottom"
"75","10300305","Ext Comb /Comm-Inst /Lignite /Pulverized Coal: Dry Bottom, Wall Fired"
"76","10300306","Ext Comb /Comm-Inst /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired"
"77","10500102","Ext Comb /Space Heater /Industrial /Coal **"
"78","10500202","Ext Comb /Space Heater /Comm-Inst /Coal **"
"79","20100301","Int Comb /Electric Gen /Gasified Coal /Turbine"
"80","2101001000","Stationary Fuel Comb /Electric Utility /Anthracite Coal /Total: All Boiler Types"
"81","2101002000","Stationary Fuel Comb /Electric Utility /Bituminous/Subbituminous Coal /Total: All Boiler Types"
"82","2101003000","Stationary Fuel Comb /Electric Utility /Lignite Coal /Total: All Boiler Types"
"83","2102001000","Stationary Fuel Comb /Industrial /Anthracite Coal /Total: All Boiler Types"
"84","2102002000","Stationary Fuel Comb /Industrial /Bituminous/Subbituminous Coal /Total: All Boiler Types"
"85","2103001000","Stationary Fuel Comb /Commercial/Institutional /Anthracite Coal /Total: All Boiler Types"
"86","2103002000","Stationary Fuel Comb /Commercial/Institutional /Bituminous/Subbituminous Coal /Total: All Boiler Types"
"87","2104001000","Stationary Fuel Comb /Residential /Anthracite Coal /Total: All Combustor Types"
"88","2104002000","Stationary Fuel Comb /Residential /Bituminous/Subbituminous Coal /Total: All Combustor Types"
"89","2199001000","Stationary Fuel Comb /Total Area Source /Anthracite Coal /Total: All Boiler Types"
"90","2199002000","Stationary Fuel Comb /Total Area Source /Bituminous/Subbituminous Coal /Total: All Boiler Types"
"91","2199003000","Stationary Fuel Comb /Total Area Source /Lignite Coal /Total: All Boiler Types"
"92","2280001000","Marine Vessels, Commercial /Coal /Total, All Vessel Types"
"93","2280001010","Marine Vessels, Commercial /Coal /Ocean-going Vessels"
"94","2280001020","Marine Vessels, Commercial /Coal /Harbor Vessels"
"95","2280001030","Marine Vessels, Commercial /Coal /Fishing Vessels"
"96","2280001040","Marine Vessels, Commercial /Coal /Military Vessels"
"97","2310023000","Coal Bed Methane NG / Dewatering Pump Engines"
"98","2310023300","Coal Bed Methane NG / Pneumatic Devices"
"99","2310023310","Coal Bed Methane NG / Pneumatic Pumps"
"100","2310023400","Coal Bed Methane NG / Dehydrators"
"101","2310023410","Coal Bed Methane NG / Amine Units"
"102","2310023509","Coal Bed Methane NG / Fugitives"
"103","2310023601","Coal Bed Methane NG / Venting - Initial Completions"
"104","2310023602","Coal Bed Methane NG / Venting - Recompletions"
"105","2310023603","Coal Bed Methane NG / Venting - Blowdowns"
"106","2310023604","Coal Bed Methane NG / Venting - Compressor Startup "
"107","2310023605","Coal Bed Methane NG / Venting - Compressor Shutdown"
"108","2390001000","In-process Fuel Use /Anthracite Coal /Total"
"109","2390002000","In-process Fuel Use /Bituminous/Subbituminous Coal /Total"
"110","2530000040","Bulk Materials Storage /All Storage Types /Coal"
"111","2530010040","Bulk Materials Storage /Commercial/Industrial /Coal"
