"","SCC","Data.Category","Short.Name","EI.Sector","Option.Group"
"1","10100101","Point","Ext Comb /Electric Gen /Anthracite Coal /Pulverized Coal","Fuel Comb - Electric Generation - Coal",""
"2","10100102","Point","Ext Comb /Electric Gen /Anthracite Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Electric Generation - Coal",""
"3","10100201","Point","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Wet Bottom","Fuel Comb - Electric Generation - Coal",""
"4","10100202","Point","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom","Fuel Comb - Electric Generation - Coal",""
"5","10100203","Point","Ext Comb /Electric Gen /Bituminous Coal /Cyclone Furnace","Fuel Comb - Electric Generation - Coal",""
"6","10100204","Point","Ext Comb /Electric Gen /Bituminous Coal /Spreader Stoker","Fuel Comb - Electric Generation - Coal",""
"7","10100205","Point","Ext Comb /Electric Gen /Bituminous Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Electric Generation - Coal",""
"8","10100211","Point","Ext Comb /Electric Gen /Bituminous Coal /Wet Bottom (Tangential)","Fuel Comb - Electric Generation - Coal",""
"9","10100212","Point","Ext Comb /Electric Gen /Bituminous Coal /Pulverized Coal: Dry Bottom (Tangential)","Fuel Comb - Electric Generation - Coal",""
"10","10100215","Point","Ext Comb /Electric Gen /Bituminous Coal /Cell Burner","Fuel Comb - Electric Generation - Coal",""
"11","10100217","Point","Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","Fuel Comb - Electric Generation - Coal",""
"12","10100218","Point","Ext Comb /Electric Gen /Bituminous Coal /Atmospheric Fluidized Bed Combustion: Circulating Bed","Fuel Comb - Electric Generation - Coal",""
"13","10100221","Point","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Wet Bottom","Fuel Comb - Electric Generation - Coal",""
"14","10100222","Point","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom","Fuel Comb - Electric Generation - Coal",""
"15","10100223","Point","Ext Comb /Electric Gen /Subbituminous Coal /Cyclone Furnace","Fuel Comb - Electric Generation - Coal",""
"16","10100224","Point","Ext Comb /Electric Gen /Subbituminous Coal /Spreader Stoker","Fuel Comb - Electric Generation - Coal",""
"17","10100225","Point","Ext Comb /Electric Gen /Subbituminous Coal /Traveling Grate (Overfeed) Stoker","Fuel Comb - Electric Generation - Coal",""
"18","10100226","Point","Ext Comb /Electric Gen /Subbituminous Coal /Pulverized Coal: Dry Bottom Tangential","Fuel Comb - Electric Generation - Coal",""
"19","10100235","Point","Ext Comb /Electric Gen /Subbituminous Coal /Cell Burner","Fuel Comb - Electric Generation - Coal",""
"20","10100237","Point","Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion: Bubbling Bed","Fuel Comb - Electric Generation - Coal",""
"21","10100238","Point","Ext Comb /Electric Gen /Subbituminous Coal /Atmospheric Fluidized Bed Combustion - Circulating Bed","Fuel Comb - Electric Generation - Coal",""
"22","10100300","Point","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Wet Bottom","Fuel Comb - Electric Generation - Coal",""
"23","10100301","Point","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Wall Fired","Fuel Comb - Electric Generation - Coal",""
"24","10100302","Point","Ext Comb /Electric Gen /Lignite /Pulverized Coal: Dry Bottom, Tangential Fired","Fuel Comb - Electric Generation - Coal",""
"25","10100303","Point","Ext Comb /Electric Gen /Lignite /Cyclone Furnace","Fuel Comb - Electric Generation - Coal",""
"26","10100304","Point","Ext Comb /Electric Gen /Lignite /Traveling Grate (Overfeed) Stoker","Fuel Comb - Electric Generation - Coal",""
"27","10100306","Point","Ext Comb /Electric Gen /Lignite /Spreader Stoker","Fuel Comb - Electric Generation - Coal",""
"28","10100316","Point","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed ** (See 101003-17 & -18)","Fuel Comb - Electric Generation - Coal",""
"29","10100317","Point","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed Combustion - Bubbling Bed","Fuel Comb - Electric Generation - Coal",""
"30","10100318","Point","Ext Comb /Electric Gen /Lignite /Atmospheric Fluidized Bed Combustion - Circulating Bed","Fuel Comb - Electric Generation - Coal",""
"31","10100401","Point","Ext Comb /Electric Gen /Residual Oil /Grade 6 Oil: Normal Firing","Fuel Comb - Electric Generation - Oil",""
"32","10100404","Point","Ext Comb /Electric Gen /Residual Oil /Grade 6 Oil: Tangential Firing","Fuel Comb - Electric Generation - Oil",""
"33","10100405","Point","Ext Comb /Electric Gen /Residual Oil /Grade 5 Oil: Normal Firing","Fuel Comb - Electric Generation - Oil",""
"34","10100406","Point","Ext Comb /Electric Gen /Residual Oil /Grade 5 Oil: Tangential Firing","Fuel Comb - Electric Generation - Oil",""
"35","10100501","Point","Ext Comb /Electric Gen /Distillate Oil /Grades 1 and 2 Oil","Fuel Comb - Electric Generation - Oil",""
"36","10100504","Point","Ext Comb /Electric Gen /Distillate Oil /Grade 4 Oil: Normal Firing","Fuel Comb - Electric Generation - Oil",""
"37","10100505","Point","Ext Comb /Electric Gen /Distillate Oil /Grade 4 Oil: Tangential Firing","Fuel Comb - Electric Generation - Oil",""
"38","10100601","Point","Ext Comb /Electric Gen /Natural Gas /Boilers : 100 Million Btu/hr except Tangential","Fuel Comb - Electric Generation - Natural Gas",""
"39","10100602","Point","Ext Comb /Electric Gen /Natural Gas /Boilers < 100 Million Btu/hr except Tangential","Fuel Comb - Electric Generation - Natural Gas",""
"40","10100604","Point","Ext Comb /Electric Gen /Natural Gas /Tangentially Fired Units","Fuel Comb - Electric Generation - Natural Gas",""
"41","10100701","Point","Ext Comb /Electric Gen /Process Gas /Boilers : 100 Million Btu/hr","Fuel Comb - Electric Generation - Other",""
"42","10100702","Point","Ext Comb /Electric Gen /Process Gas /Boilers < 100 Million Btu/hr","Fuel Comb - Electric Generation - Other",""
"43","10100703","Point","Ext Comb /Electric Gen /Process Gas /Petroleum Refinery Gas","Fuel Comb - Electric Generation - Other",""
"44","10100704","Point","Ext Comb /Electric Gen /Process Gas /Blast Furnace Gas","Fuel Comb - Electric Generation - Other",""
"45","10100707","Point","Ext Comb /Electric Gen /Process Gas /Coke Oven Gas","Fuel Comb - Electric Generation - Other",""
"46","10100711","Point","Ext Comb /Electric Gen /Process Gas /Landfill Gas","Fuel Comb - Electric Generation - Other",""
"47","10100712","Point","Ext Comb /Electric Gen /Process Gas /Digester Gas","Fuel Comb - Electric Generation - Other",""
"48","10100801","Point","Ext Comb /Electric Gen /Petroleum Coke /All Boiler Sizes","Fuel Comb - Electric Generation - Other",""
"49","10100818","Point","Ext Comb /Electric Gen /Petroleum Coke /Circulating Fluidized Bed Combustion","Fuel Comb - Electric Generation - Other",""
"50","10100901","Point","Ext Comb /Electric Gen /Bark-fired Boiler","Fuel Comb - Electric Generation - Biomass",""
"51","10100902","Point","Ext Comb /Electric Gen /Wood/Bark Fired Boiler","Fuel Comb - Electric Generation - Biomass",""
"52","10100903","Point","Ext Comb /Electric Gen /Wood-fired Boiler - Wet Wood (:=20% moisture)","Fuel Comb - Electric Generation - Biomass",""
"53","10100908","Point","Ext Comb /Electric Gen /Wood-fired Boiler - Dry Wood (<20% moisture)","Fuel Comb - Electric Generation - Biomass",""
"54","10100910","Point","Ext Comb /Electric Gen /Wood/Bark Waste /Fuel cell/Dutch oven boilers **","Fuel Comb - Electric Generation - Biomass",""
"55","10100911","Point","Ext Comb /Electric Gen /Wood/Bark Waste /Stoker boilers **","Fuel Comb - Electric Generation - Biomass",""
"56","10100912","Point","Ext Comb /Electric Gen /Wood/Bark Waste /Fluidized bed combustion boilers","Fuel Comb - Electric Generation - Biomass",""
"57","10101001","Point","Ext Comb /Electric Gen /LPG /Butane","Fuel Comb - Electric Generation - Other",""
"58","10101002","Point","Ext Comb /Electric Gen /LPG /Propane","Fuel Comb - Electric Generation - Other",""
